ClientID,PreferredClinicID,ClientName,City,State,PostalCode,ClientSince,MarketingOptIn,PreferredContact,AcquisitionChannel,HouseholdIncomeBand
C000001,CL010,Chloe Wilson,Naples,FL,34076,2022-12-23,No,Email,Community Event,$50K-$74K
C000002,CL011,Mia Young,Miami,FL,33348,2020-05-25,Yes,SMS,Referral,$75K-$99K
C000003,CL010,Emily Lewis,Miami,FL,34482,2023-09-04,No,SMS,Social Media,$50K-$74K
C000004,CL005,Olivia Lewis,Clearwater,FL,32782,2022-06-13,Yes,SMS,Community Event,$50K-$74K
C000005,CL012,Chloe Lee,Newberry,FL,34780,2020-01-01,Yes,SMS,Community Event,$75K-$99K
C000006,CL003,Emma Roberts,Fort Myers,FL,34540,2020-03-27,No,Phone,Walk-In,$75K-$99K
C000007,CL005,Megan Hall,St. Petersburg,FL,34901,2020-11-04,Yes,SMS,Social Media,$100K-$149K
C000008,CL002,David Harris,Ocala,FL,34547,2021-10-10,No,Phone,Referral,$75K-$99K
C000009,CL009,Isabella King,Sarasota,FL,33033,2022-06-24,Yes,SMS,Social Media,$50K-$74K
C000010,CL006,Jessica Walker,Jacksonville,FL,33285,2018-03-03,Yes,Phone,Google Search,$75K-$99K
C000011,CL006,Jack Brown,Fort Myers,FL,34671,2020-12-12,Yes,SMS,Existing Client,$100K-$149K
C000012,CL003,Michael Miller,St. Petersburg,FL,33588,2023-02-03,Yes,SMS,Existing Client,$100K-$149K
C000013,CL006,Jason Garcia,Palm Coast,FL,34821,2018-02-02,Yes,SMS,Referral,$50K-$74K
C000014,CL010,Emma Lopez,Tampa,FL,32726,2023-10-13,No,Phone,Google Search,<$50K
C000015,CL006,Ethan Roberts,Sarasota,FL,32240,2018-03-02,Yes,Email,Google Search,<$50K
C000016,CL004,Camila Wright,Fort Myers,FL,32640,2018-01-16,Yes,SMS,Community Event,$50K-$74K
C000017,CL007,Sophia Torres,Pensacola,FL,33868,2020-10-27,Yes,SMS,Social Media,$100K-$149K
C000018,CL001,Michael Carter,Fort Myers,FL,33839,2021-03-28,Yes,SMS,Social Media,<$50K
C000019,CL009,Luna Gonzalez,Lake City,FL,33141,2019-05-19,Yes,SMS,Social Media,$75K-$99K
